iter	Passed	Remaining
546	9418	7800
547	9432	7780
548	9448	7761
549	9462	7741
550	9475	7721
551	9488	7701
552	9501	7680
553	9515	7660
554	9526	7638
555	9542	7619
556	9555	7599
557	9568	7579
558	9582	7559
559	9598	7541
560	9611	7521
561	9623	7500
562	9635	7479
563	9648	7458
564	9661	7438
565	9675	7419
566	9688	7398
567	9700	7377
568	9712	7356
569	9725	7336
570	9737	7315
571	9750	7295
572	9765	7277
573	9778	7256
574	9791	7236
575	9803	7216
576	9817	7197
577	9831	7177
578	9844	7157
579	9856	7137
580	9869	7117
581	9880	7096
582	9892	7075
583	9906	7056
584	9920	7037
585	9932	7017
586	9943	6996
587	9957	6977
588	9971	6958
589	9986	6939
590	9999	6920
591	10013	6900
592	10026	6881
593	10040	6862
594	10053	6843
595	10066	6823
596	10079	6804
597	10092	6784
598	10103	6763
599	10117	6744
600	10130	6725
601	10143	6706
602	10154	6685
603	10168	6666
604	10180	6646
605	10193	6627
606	10206	6608
607	10219	6589
608	10234	6570
609	10246	6551
610	10258	6531
611	10272	6512
612	10286	6493
613	10298	6474
614	10312	6455
615	10325	6436
616	10340	6418
617	10352	6399
618	10365	6380
619	10379	6361
620	10392	6342
621	10405	6323
622	10418	6304
623	10432	6286
624	10447	6268
625	10460	6249
626	10474	6230
627	10486	6211
628	10500	6193
629	10512	6174
630	10525	6155
631	10539	6137
632	10554	6119
633	10568	6101
634	10581	6082
635	10595	6063
636	10609	6046
637	10623	6027
638	10636	6009
639	10650	5990
640	10663	5972
641	10677	5954
642	10691	5936
643	10704	5917
644	10717	5898
645	10730	5879
646	10741	5860
647	10755	5842
648	10770	5824
649	10784	5807
650	10799	5789
651	10812	5770
652	10824	5752
653	10837	5733
654	10850	5715
655	10862	5696
656	10877	5678
657	10890	5660
658	10904	5642
659	10918	5624
660	10933	5607
661	10945	5588
662	10958	5570
663	10970	5551
664	10982	5532
665	10996	5514
666	11008	5496
667	11023	5478
668	11037	5461
669	11049	5442
670	11060	5423
671	11076	5406
672	11091	5389
673	11104	5371
674	11119	5353
675	11130	5334
676	11142	5316
677	11156	5298
678	11170	5280
679	11181	5262
680	11196	5244
681	11210	5227
682	11223	5209
683	11236	5190
684	11249	5173
685	11263	5155
686	11278	5138
687	11291	5120
688	11304	5102
689	11317	5084
690	11328	5066
691	11342	5048
692	11354	5029
693	11368	5012
694	11381	4994
695	11394	4976
696	11409	4959
697	11422	4942
698	11437	4924
699	11449	4907
700	11463	4889
701	11478	4872
702	11490	4854
703	11505	4837
704	11519	4820
705	11532	4802
706	11545	4784
707	11557	4766
708	11570	4748
709	11584	4731
710	11597	4714
711	11610	4696
712	11624	4678
713	11638	4661
714	11650	4644
715	11665	4627
716	11678	4609
717	11691	4591
718	11705	4574
719	11718	4557
720	11732	4540
721	11745	4522
722	11758	4505
723	11770	4487
724	11782	4469
725	11794	4451
726	11806	4433
727	11818	4415
728	11829	4397
729	11841	4379
730	11854	4362
731	11867	4344
732	11881	4327
733	11893	4310
734	11907	4293
735	11921	4276
736	11935	4259
737	11948	4241
738	11961	4224
739	11974	4207
740	11987	4190
741	12001	4173
742	12014	4155
743	12027	4138
744	12039	4120
745	12053	4103
746	12068	4087
747	12083	4070
748	12096	4053
749	12107	4035
750	12120	4018
751	12135	4002
752	12146	3984
753	12158	3966
754	12171	3949
755	12185	3932
756	12197	3915
757	12210	3898
758	12222	3881
759	12236	3864
760	12248	3846
761	12261	3829
762	12272	3812
763	12285	3794
764	12299	3778
765	12311	3761
766	12324	3743
767	12338	3727
768	12349	3709
769	12361	3692
770	12374	3675
771	12386	3658
772	12399	3641
773	12413	3624
774	12427	3607
775	12440	3591
776	12454	3574
777	12468	3557
778	12480	3540
779	12495	3524
780	12507	3507
781	12522	3490
782	12536	3474
783	12551	3458
784	12564	3441
785	12578	3424
786	12593	3408
787	12604	3391
788	12618	3374
789	12632	3357
790	12646	3341
791	12658	3324
792	12670	3307
793	12683	3290
794	12698	3274
795	12710	3257
796	12725	3241
797	12739	3224
798	12751	3207
799	12763	3190
800	12777	3174
801	12791	3158
802	12804	3141
803	12817	3124
804	12832	3108
805	12847	3092
806	12859	3075
807	12874	3059
808	12889	3043
809	12903	3026
810	12918	3010
811	12929	2993
812	12944	2977
813	12956	2960
814	12968	2943
815	12979	2926
816	12991	2909
817	13003	2893
818	13016	2876
819	13030	2860
820	13041	2843
821	13056	2827
822	13069	2810
823	13080	2793
824	13093	2777
825	13106	2761
826	13120	2744
827	13133	2728
828	13146	2711
829	13161	2695
830	13174	2679
831	13187	2662
832	13202	2646
833	13215	2630
834	13231	2614
835	13244	2598
836	13257	2581
837	13273	2565
838	13285	2549
839	13303	2533
840	13316	2517
841	13329	2501
842	13344	2485
843	13357	2468
844	13370	2452
845	13384	2436
846	13397	2420
847	13411	2403
848	13424	2387
849	13438	2371
850	13451	2355
851	13463	2338
852	13475	2322
853	13491	2306
854	13504	2290
855	13518	2274
856	13532	2258
857	13545	2241
858	13559	2225
859	13572	2209
860	13588	2193
861	13603	2177
862	13619	2161
863	13632	2145
864	13646	2129
865	13661	2113
866	13675	2097
867	13687	2081
868	13702	2065
869	13714	2049
870	13729	2033
871	13742	2017
872	13759	2001
873	13775	1985
874	13788	1969
875	13804	1954
876	13817	1937
877	13832	1922
878	13846	1906
879	13858	1889
880	13872	1873
881	13888	1858
882	13902	1842
883	13914	1825
884	13926	1809
885	13942	1793
886	13956	1778
887	13969	1761
888	13983	1746
889	13999	1730
890	14015	1714
891	14027	1698
892	14043	1682
893	14056	1666
894	14069	1650
895	14082	1634
896	14097	1618
897	14111	1602
898	14126	1587
899	14141	1571
900	14155	1555
901	14169	1539
902	14183	1523
903	14199	1507
904	14215	1492
905	14230	1476
906	14246	1460
907	14260	1444
908	14274	1429
909	14288	1413
910	14300	1397
911	14315	1381
912	14328	1365
913	14343	1349
914	14355	1333
915	14370	1317
916	14384	1301
917	14398	1286
918	14415	1270
919	14431	1254
920	14444	1238
921	14457	1223
922	14471	1207
923	14486	1191
924	14499	1175
925	14513	1159
926	14527	1144
927	14542	1128
928	14555	1112
929	14569	1096
930	14583	1080
931	14597	1065
932	14611	1049
933	14625	1033
934	14638	1017
935	14654	1002
936	14669	986
937	14683	970
938	14697	954
939	14711	939
940	14725	923
941	14737	907
942	14752	891
943	14763	875
944	14778	860
945	14790	844
946	14804	828
947	14816	812
948	14830	796
949	14844	781
950	14857	765
951	14869	749
952	14882	733
953	14896	718
954	14911	702
955	14925	686
956	14938	671
957	14951	655
958	14964	639
959	14977	624
960	14991	608
961	15004	592
962	15017	576
963	15030	561
964	15044	545
965	15055	529
966	15068	514
967	15080	498
968	15094	482
969	15107	467
970	15119	451
971	15131	435
972	15146	420
973	15158	404
974	15170	388
975	15183	373
976	15194	357
977	15223	342
978	15236	326
979	15249	311
980	15263	295
981	15275	280
982	15289	264
983	15302	248
984	15315	233
985	15329	217
986	15341	202
987	15355	186
988	15369	170
989	15382	155
990	15395	139
991	15408	124
992	15421	108
993	15436	93
994	15450	77
995	15462	62
996	15474	46
997	15486	31
998	15501	15
999	15515	0
